x;y;dX;dY;grounded;jumping;doubleJumping;wallJumpingLeft;wallJumpingRight;wallJumping;collision.left;collision.right;collision.top;collision.bottom 
125;443.4770000000002;8.9;18.29700000000001;false;false;false;false;false;false;false;false;false;true
125;442.6283000000002;8.81;17.448300000000014;false;false;false;false;false;false;false;false;false;true
125;441.8644700000002;8.729000000000001;16.684470000000015;false;false;false;false;false;false;false;false;false;true
125;441.1770230000002;8.656100000000002;15.997023000000015;false;false;false;false;false;false;false;false;false;true
125;440.5583207000002;8.590490000000003;15.378320700000014;false;false;false;false;false;false;false;false;false;true
123;440.0014886300002;6.958296900000002;14.821488630000013;false;false;false;false;false;false;false;false;false;true
71;444.4200000000002;9;19.24000000000001;false;false;false;false;false;false;false;false;false;true
71;443.4770000000002;8.9;18.29700000000001;false;false;false;false;false;false;false;false;false;true
71;442.6283000000002;8.81;17.448300000000014;false;false;false;false;false;false;false;false;false;true
71;441.8644700000002;8.729000000000001;16.684470000000015;false;false;false;false;false;false;false;false;false;true
71;441.1770230000002;8.656100000000002;15.997023000000015;false;false;false;false;false;false;false;false;false;true
71;440.5583207000002;8.590490000000003;15.378320700000014;false;false;false;false;false;false;false;false;false;true
71;440.0014886300002;8.531441000000003;14.821488630000013;false;false;false;false;false;false;false;false;false;true
80;444.4200000000002;9;19.24000000000001;false;false;false;false;false;false;false;false;false;true
80;443.4770000000002;8.9;18.29700000000001;false;false;false;false;false;false;false;false;false;true
80;442.6283000000002;8.81;17.448300000000014;false;false;false;false;false;false;false;false;false;true
78;441.8644700000002;7.136100000000001;16.684470000000015;false;false;false;false;false;false;false;false;false;true
77;441.1770230000002;5.780241000000001;15.997023000000015;false;false;false;false;false;false;false;false;false;true
76;440.5583207000002;4.681995210000001;15.378320700000014;false;false;false;false;false;false;false;false;false;true
75;440.0014886300002;3.7924161201000013;14.821488630000013;false;false;false;false;false;false;false;false;false;true
62;444.4200000000002;9;19.24000000000001;false;false;false;false;false;false;false;false;false;true
62;443.4770000000002;8.9;18.29700000000001;false;false;false;false;false;false;false;false;false;true
62;442.6283000000002;8.81;17.448300000000014;false;false;false;false;false;false;false;false;false;true
